Subject,Condition,ConsistentAxis,AxisChoice,ChoiceDetailed,ConsistentAxialDirection,AxialDirectionDetailed,AxialDirectionHorizontal,AxialDirectionVertical,ConsistentRoundDirection,RoundDirectionDetailed,SameAxis
S57,N,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S57,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S57,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S57,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S58,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S58,Q,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S58,T,no,NA,round,NA,NA,NA,NA,yes,CW,no
S58,V,no,NA,round,NA,NA,NA,NA,yes,CW,no
S59,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S59,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S59,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S6,N,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S6,Q,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S6,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S60,N,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S60,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S60,V,yes,vertical,vertical,NA,down-to-up,NA,down-to-up,NA,NA,yes
S61,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S61,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S61,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S62,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S62,Q,no,NA,round,NA,NA,NA,NA,yes,CW,no
S62,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S63,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S63,T,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S63,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S64,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S64,T,yes,diagonal,diagonal,yes,down-right-to-up-left,right-to-left,down-to-up,NA,NA,no
S64,V,yes,diagonal,diagonal,yes,up-right-to-down-left,left-to-right,up-to-down,NA,NA,no
S65,N,no,NA,round,NA,NA,NA,NA,no,CW,no
S65,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S65,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S66,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S66,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S66,V,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S67,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S67,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S67,T,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S67,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S68,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S68,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
S68,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S69,N,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S69,Q,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S69,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S7,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S7,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S7,T,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S7,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S70,Q,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,yes
S70,T,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,yes
S70,V,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,yes
S71,Q,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S71,T,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S71,V,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S72,N,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S72,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S72,T,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,no
S73,N,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S73,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S73,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S75,N,yes,diagonal,diagonal,no,NA,NA,NA,NA,NA,no
S75,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S75,V,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S76,N,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S76,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S76,T,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S77,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S77,T,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S77,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S78,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S78,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S78,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S78,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S8,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S8,T,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S8,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S80,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S80,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S80,V,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S81,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S81,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S81,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S82,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S82,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S82,V,no,NA,round,NA,NA,NA,NA,no,NA,NA
S83,Q,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S83,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S83,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S85,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S85,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
